Question ID,Category,Question,Vendor Response,Reviewer Notes
Q1,Company,"Provide a brief company overview, including employee count, office footprint, and where customer data is hosted.",,
Q2,Compliance,"List all security certifications and attestations currently held (e.g., SOC 2, ISO 27001), including report dates and any noted exceptions.",,
Q3,Encryption,"Describe encryption of customer data at rest and in transit, including key management and rotation. Do you support customer-managed keys (CMK)?",,
Q4,Access Control,"Is single sign-on with multi-factor authentication enforced for all employees and contractors? Name your identity provider.",,
Q5,Access Control,"Describe your access review cadence and the timeline for revoking access upon employee termination.",,
Q6,AppSec,"Describe your penetration testing program: frequency, most recent test date, performing firm, and remediation of critical/high findings.",,
Q7,Logging,"What is your log retention period? Can retention be extended beyond 12 months upon customer request?",,
Q8,Incident Response,"Do you maintain a documented incident response plan? What is your customer notification commitment following a confirmed breach?",,
Q9,BC/DR,"Describe your backup strategy and RTO/RPO targets. Provide the date and results of your most recent disaster recovery test.",,
Q10,HR Security,"Do you perform background checks on new hires? Identify the screening vendor and the scope of checks performed.",,
Q11,Endpoint,"Describe endpoint protections on employee devices (MDM, disk encryption, EDR).",,
Q12,Vendors,"Provide a current list of subprocessors with access to customer data. Is a Data Processing Agreement available?",,
Q13,Privacy,"Have you appointed a Data Protection Officer? Describe your GDPR and CCPA compliance measures.",,
Q14,Legal,"State your cyber liability insurance carrier and per-incident coverage amount.",,
Q15,Legal,"Will you agree to indemnify the customer for losses arising from a breach of your systems? Describe your standard contractual terms.",,